Taxon id;Global sorteringsordning;Vetenskapligt namn;Auktor;Svenskt namn;Taxonstatus;Taxonkategori;Svensk förekomst;Svensk invandringshistoria;Rike;Fylum;Klass;Ordning;Familj;Släkte;Småart;Art;Andra identifierare;Andra vetenskapliga namn;Andra svenska namn;Andra namn;Webbadress
6011554;56306;Axis;Linnaeus, 1758;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305255, Id för taxonid.org: c6072a;;;;https://dyntaxa.se/taxon/6011554
6011555;56307;Axis axis;(Erxleben, 1777);axishjort;Accepterat;Art;Ej påträffad;;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;;;GUID: urn:lsid:faunaeur.org:taxname:305256, Id för taxonid.org: 724d3e;cervus axis;;;https://dyntaxa.se/taxon/6011555
1001658;56308;Dama;Frisch, 1775;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305264, Id för taxonid.org: f2cc20;;;;https://dyntaxa.se/taxon/1001658
206044;56309;Dama dama;(Linnaeus, 1758);dovhjort;Accepterat;Art;Bofast och reproducerande;Aktivt införd och bofast före år 1800;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Dama;;;GUID: urn:lsid:faunaeur.org:taxname:305265, Id för taxonid.org: 078bf0;cervus dama;;;https://dyntaxa.se/taxon/206044
6007820;56310;Muntiacus;Rafinesque, 1815;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305268, Id för taxonid.org: 706ddf;;;;https://dyntaxa.se/taxon/6007820
6007821;56311;Muntiacus reevesi;(Ogilby, 1838);röd muntjak;Accepterat;Art;Ej påträffad;;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Muntiacus;;;GUID: urn:lsid:faunaeur.org:taxname:305269, Id för taxonid.org: 501bda;muntiacus reevesii, cervus reevesi;kinesisk muntjak;Engelskt: reeves' muntjac;https://dyntaxa.se/taxon/6007821
2002173;56312;Bovidae;Gray, 1821;slidhornsdjur;Accepterat;Familj;;;Animalia;Chordata;Mammalia;Artiodactyla;;;;;GUID: urn:lsid:faunaeur.org:taxname:12646, Id för taxonid.org: 922c09;;;;https://dyntaxa.se/taxon/2002173
6011542;56313;Bison;Hamilton-Smith, 1827;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305220, Id för taxonid.org: 53990c;;;;https://dyntaxa.se/taxon/6011542
6011543;56314;Bison bison;(Linnaeus, 1758);bison;Accepterat;Art;Ej påträffad;;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bison;;;Id för taxonid.org: 5d8c15;bos bison;bisonoxe, amerikansk bison;;https://dyntaxa.se/taxon/6011543
6011613;56315;Bison bonasus;(Linnaeus, 1758);visent;Accepterat;Art;Förekommer ej, tidigare bofast;Aktivt införd, men ej bofast, före år 1800;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bison;;;GUID: urn:lsid:faunaeur.org:taxname:305222, Id för taxonid.org: a03d46;bos bonasus;europeisk bison;;https://dyntaxa.se/taxon/6011613
1009407;56316;Bos;Linnaeus, 1758;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305221, Id för taxonid.org: 2cebda;;;;https://dyntaxa.se/taxon/1009407
233628;56317;Bos taurus;Linnaeus, 1758;nötkreatur;Accepterat;Art;Förekommer ej, tidigare bofast;Aktivt införd, men ej bofast, före år 1800;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;;;GUID: urn:lsid:faunaeur.org:taxname:305224, Id för taxonid.org: 3bbac0;;;;https://dyntaxa.se/taxon/233628
1009405;56318;Capra;Linnaeus, 1758;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305225, Id för taxonid.org: 4c295e;;;;https://dyntaxa.se/taxon/1009405
233625;56319;Capra hircus;Linnaeus, 1758;get;Accepterat;Art;Tillfällig, ej reproducerande;Aktivt införd, men ej bofast, före år 1800;Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capra;;;Id för taxonid.org: 4fdbcf;;;;https://dyntaxa.se/taxon/233625
